100MB,200MB,300MB
"(0.9968902402189721, 1.2067979388031287)","(0.161552960996379, 0.17062713434096655)","(0.9296502860647173, 0.9644546278764198)","(1.6582126640348276, 278.5049499552743)"
"(0.9257700283358385, 0.962108103451462)","(0.0873216050566439, 0.13543533274128716)","(1.1828288357467793, 1.281917846961201)","(17.123516010385497, 461.3505701197999)"
"(1.0881184233346486, 1.2633571389659655)","(0.07529283921818318, 0.11197839286084457)","(0.8998112577971751, 0.9837995194566254)","(29.423968607700463, 1653.914664064291)"
